time,issue_id,event_id,type,author,action,url
2026-01-05 14:45:16+00:00,77,21855676537,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/77
2026-01-05 14:45:16+00:00,77,21855676594,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/77
2025-12-08 14:31:29+00:00,76,21428307847,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/76
2025-12-08 14:31:29+00:00,76,21428307936,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/76
2025-12-08 14:31:29+00:00,76,21428308013,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/76
2025-12-08 14:31:26+00:00,75,21428306732,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/75
2025-12-08 14:31:26+00:00,75,21428306830,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/75
2025-12-08 14:31:27+00:00,75,21428306913,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/75
2025-12-08 14:31:24+00:00,74,21428305510,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/74
2025-12-08 14:31:24+00:00,74,21428305604,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/74
2025-12-08 14:31:24+00:00,74,21428305699,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/74
2025-12-08 14:31:21+00:00,73,21428304527,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/73
2025-12-08 14:31:22+00:00,73,21428304636,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/73
2025-12-08 14:31:22+00:00,73,21428304724,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/73
2025-12-08 14:31:19+00:00,72,21428302520,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/72
2025-12-08 14:31:19+00:00,72,21428302675,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/72
